latitude,longitude,resolved_locality
24.895708,91.867922,South Surma
24.89761,91.89657,Tilagar
24.8927,91.86565,South Surma
24.90418,91.86034,South Surma
24.8946,91.8898,Tilagar
24.85014,92.02375,
24.88626,91.88437,Tilagar
24.916447,91.883653,Tilagar
24.8884,91.8742,South Surma
24.9099,91.8638,South Surma
24.8967,91.8683,South Surma
24.90795,91.8406,South Surma
24.89497,91.88647,Tilagar
24.85689,92.01408,
24.89594,91.86776,South Surma
24.88709,91.88513,Tilagar
24.80847,91.85665,
24.899694,91.851422,South Surma
24.9007,91.8839,Tilagar
24.88944,91.86825,South Surma
24.96596,91.87834,
24.907361,91.93068,
24.91628,91.88174,Tilagar
24.88605,91.83167,South Surma
24.9073,91.8725,South Surma
24.96679,91.8912,
24.96822,91.89134,
24.9077,91.8682,South Surma
24.89549,91.88034,South Surma
24.895993,91.866205,South Surma
24.8894,91.8911,Tilagar
24.89183,91.89159,Tilagar
24.89405,91.89095,Tilagar
24.893609,91.88113,Tilagar
24.89367,91.86835,South Surma
24.9024,91.91526,Tilagar
24.96597,91.89244,
24.90616,91.89448,Tilagar
24.89004,91.889273,Tilagar
24.90264,91.86946,South Surma
24.8948,91.869,South Surma
24.9481,91.9721,
24.895812,91.880867,Tilagar
24.91271,91.84914,
24.947,91.8605,
24.912456,91.87511,South Surma
24.88689,91.88524,Tilagar
24.89946,91.84693,South Surma
24.9111,91.8322,South Surma
24.901606,91.870592,South Surma
24.89942,91.86681,South Surma
24.90104,91.86786,South Surma
24.89494,91.88697,Tilagar
24.9101,91.851,South Surma
24.89999,91.89286,Tilagar
24.887,91.8828,Tilagar
24.90263,91.87082,South Surma
24.89952,91.87153,South Surma
24.90062,91.86957,South Surma
24.88953,91.88508,Tilagar
24.89142,91.86943,South Surma
24.8172,92.0077,
24.96657,91.89132,
24.9046,91.85456,South Surma
24.8893,91.8906,Tilagar
24.89938,91.87199,South Surma
24.89231,91.89069,Tilagar
24.904,91.8767,South Surma
24.88968,91.8695,South Surma
24.90608,91.8517,South Surma
24.89011,91.87013,South Surma
24.91281,91.86752,South Surma
24.909,91.8621,South Surma
24.88896,91.88829,Tilagar
24.88836,91.8873,Tilagar
24.9108,91.8722,South Surma
24.89184,91.89306,Tilagar
24.90629,91.85779,South Surma
24.95383,92.01075,
24.5555,91.5426,
24.34203,91.79862,
24.3472,91.74554,
24.3007,91.5967,
24.30933,91.72913,
24.29197,91.73839,
24.31141,91.73324,
24.48917,91.75613,
24.30914,91.73189,
24.3059,91.7344,
24.30797,91.7223,
24.29321,91.739339,
24.30695,91.72904,
24.31109,91.7332,
24.26418,91.7182,
24.29694,91.59476,
24.31031,91.73265,
24.32794,91.73886,
24.4314,91.76116,
24.5999,91.6095,
24.5641,91.506,
24.55815,91.54074,
25.073,91.4029,
25.0711,91.3885,
25.12715,91.09804,
25.099,91.1755,
24.92797,91.44699,
25.0872,91.4052,
24.92231,91.44402,
