latitude,longitude,resolved_locality
23.7987,90.3704,Kazipara
23.87168,90.38572,Uttara
23.820926,90.427648,Kuril
23.868696,90.394992,Uttara
23.815166,90.434075,Bashundhara Residential Area
23.819771,90.442618,Bashundhara Residential Area
23.8104,90.437,Solmaid
23.8224,90.4571,Dumni
23.868852,90.392801,Uttara
23.7552,90.405,Mogbazar
23.8661,90.3975,Uttara
23.8209,90.4393,Bashundhara Residential Area
23.783171,90.395561,Mohakhali
23.7671,90.421,Rampura
24.10579,90.50924,
23.8208,90.4525,Bashundhara Residential Area
23.83113,90.46309,Dumni
23.823633,90.433017,Bashundhara Residential Area
23.8162,90.4273,Kuril
23.819246,90.432349,Bashundhara Residential Area
23.794,90.3608,Ahmed Nagar
23.83585,90.36613,Mirpur Cantonment
23.87545,90.39349,Uttara
23.8088,90.4281,Solmaid
24.1028,90.3971,
24.2581,89.9207,
23.82161,90.42911,Kuril
23.8045,90.3815,Ibrahimpur
23.86282,90.39744,Uttara
23.868368,90.38504,Uttara
23.7677,90.3548,Adabar
23.8201,90.4274,Kuril
23.77425,90.35705,Adabar
23.989758,90.387024,Chandona
23.8211,90.42633,Kuril
23.821197,90.431408,Bashundhara Residential Area
23.77267,90.35198,Adabar
23.869388,90.381043,Nalbhog
23.812999,90.436086,Bashundhara Residential Area
23.81932,90.426243,Kuril
23.8397,90.4935,Sector 11
23.74601,90.39859,Kawran Bazar
23.8721,90.4021,Sector 6
23.8708,90.3824,Nalbhog
23.771836,90.097349,
23.876329,90.382158,Nalbhog
23.873,90.3899,Uttara
23.8416,90.3652,Mirpur Cantonment
23.795293,90.359727,Ahmed Nagar
24.866376,89.367236,Uposhohor
23.7576,90.4174,Noyatola
23.8561,90.3545,Mirpur Cantonment
23.8207,90.4272,Kuril
23.81787,90.35846,Pallabi
23.870536,90.381468,Nalbhog
23.781496,90.370171,Agargaon
23.876897,90.393817,Uttara
23.81243,90.41149,Joar Sahara
25.80041,88.96477,
23.80374,90.39624,Dhaka Cantonment
23.671371,90.427867,Basundhara Riverview
23.6993,90.4574,Sanarpar
23.7133,90.3996,Armanitola
23.86763,90.28587,
23.911287,90.216597,
23.85284,90.36149,Mirpur Cantonment
