listing_link,Title,Ratings,Main_Bedroom,Main_Beds,Main_Baths
https://www.airbnb.com/rooms/790532793741346287?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1553133611&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P30GK9i31fUwftbE&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Rental Unit In Lakshmipur District ,, 3  , 3  , 2 
https://www.airbnb.com/rooms/773906013370230186?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1539154376&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P34r5SYweGr2wIJv&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Rental Unit In Barisal ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/733772959582894108?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1505552656&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-20&source_impression_id=p3_1718221290_P3CUE-luaDDnQWzt&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Rental Unit In Barisal ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/663004287409337202?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3B8lY3EQ6iulg82&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/636567375873401024?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P370-zTnIkotTZzf&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/646727034315372533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3kUH38ZQezf15m7&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/854104320006970758?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1613173130&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3hRrjuHXdpWAAHv&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Home In Bagerhat ,, 1  , 1  , 1.5 
https://www.airbnb.com/rooms/647661407016778904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3tYjAYv9LoJA0nY&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Patuakhali ,, 1  , 2  , 1  
https://www.airbnb.com/rooms/636510683590819371?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P39u7W_-mg4QUK9q&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/636521912181177800?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3n--z2kgSPbCZND&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 2  , 1  
https://www.airbnb.com/rooms/636513892825733200?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3iXutDcXfuDBcIU&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 2  , 1  
https://www.airbnb.com/rooms/663021750315161768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3L7-yk4G1HBNE2e&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Barisal Division ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/647702799647528151?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P35Jccf1bVfawmjX&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Patuakhali ,, 2  , 3  , 2 
https://www.airbnb.com/rooms/663036023259551092?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3vif2RaNXmd5B2C&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Barisal Division ,, 1  , 2  , 1  
https://www.airbnb.com/rooms/637964889839166666?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3TZ38s5V_cQQ5Y5&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In ???????? ,, 1  , 2  , 1  
https://www.airbnb.com/rooms/43391797?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3IQ5aLVPvQEuQbm&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,Resort In Kuakata ,, 20  , 20  , 33 
https://www.airbnb.com/rooms/663017541545565849?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3udeCodqrHfvKQy&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,Boutique Hotel In Barisal Division ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/647684070585156265?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P31JUu-QVCbITcXD&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,Boutique Hotel In Patuakhali ,, 2  , 3  , 2 
