location,listing_link,base_urls
Gulshan,https://www.airbnb.com/rooms/40337996?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1727720719&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222801_P3yLdY51FHhYTQh9&previous_page_section_name=1000&federated_search_id=de87e031-dc24-4be5-8404-f05ac641baf8,https://www.airbnb.com/rooms/40337996
Gulshan,https://www.airbnb.com/rooms/967467373917661254?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222801_P3PDdy_MLpcxyFlB&previous_page_section_name=1000&federated_search_id=de87e031-dc24-4be5-8404-f05ac641baf8,https://www.airbnb.com/rooms/967467373917661254
Gulshan,https://www.airbnb.com/rooms/1109043719624827604?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-24&check_out=2024-06-29&source_impression_id=p3_1718222805_P3sNRvM9WuvLQ6CA&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1109043719624827604
Gulshan,https://www.airbnb.com/rooms/1146916416051201796?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3_W4ubOZCAMEBJn&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1146916416051201796
Gulshan,https://www.airbnb.com/rooms/18481345?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3P3Jpc8wcbptCwR&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/18481345
Gulshan,https://www.airbnb.com/rooms/789199394730624883?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222806_P3ASXQvM4vTKNZTi&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/789199394730624883
Gulshan,https://www.airbnb.com/rooms/1017968140180011306?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-08&source_impression_id=p3_1718222806_P3cP0fiOLwI5RTO3&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1017968140180011306
Gulshan,https://www.airbnb.com/rooms/1128133496000589594?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1876857889&search_mode=regular_search&check_in=2024-07-28&check_out=2024-08-02&source_impression_id=p3_1718222806_P3-BVigKotV2M95e&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1128133496000589594
Gulshan,https://www.airbnb.com/rooms/1125210570421427034?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-28&check_out=2024-08-02&source_impression_id=p3_1718222806_P3NwT-osR85xEGGE&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1125210570421427034
Gulshan,https://www.airbnb.com/rooms/952876301705834551?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1714666722&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3erGb8iyUTxbx2R&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/952876301705834551
Gulshan,https://www.airbnb.com/rooms/1038379422236370193?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222806_P3XAaOfJyg7BU8FE&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1038379422236370193
Gulshan,https://www.airbnb.com/rooms/1076786883404710234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718222806_P36iGgxJcnOBpBPE&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1076786883404710234
Gulshan,https://www.airbnb.com/rooms/798236287480572149?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3DdtZHJuyW8Yxbh&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/798236287480572149
Gulshan,https://www.airbnb.com/rooms/1078880231640668250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3LJUMi3zI_yiSM0&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/1078880231640668250
Gulshan,https://www.airbnb.com/rooms/926543724103097391?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222806_P3djuB2pZ8kOjBDj&previous_page_section_name=1000&federated_search_id=c77644d6-a62f-42d6-9801-3c8e28b8e705,https://www.airbnb.com/rooms/926543724103097391
