listing_link,base_urls,listing_title,principalSubdivision,localityName_unresolved,latitude,longitude,map_link
https://www.airbnb.com/rooms/647661407016778904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3tYjAYv9LoJA0nY&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/647661407016778904,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8154,90.1379,"https://www.google.com/maps?q=21.8154,90.1379"
https://www.airbnb.com/rooms/636510683590819371?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P39u7W_-mg4QUK9q&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/636510683590819371,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8159,90.1253,"https://www.google.com/maps?q=21.8159,90.1253"
https://www.airbnb.com/rooms/636521912181177800?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3n--z2kgSPbCZND&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/636521912181177800,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8158,90.1254,"https://www.google.com/maps?q=21.8158,90.1254"
https://www.airbnb.com/rooms/636513892825733200?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3iXutDcXfuDBcIU&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/636513892825733200,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8159,90.1254,"https://www.google.com/maps?q=21.8159,90.1254"
https://www.airbnb.com/rooms/663021750315161768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3L7-yk4G1HBNE2e&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/663021750315161768,Boutique Hotel In Barisal Division ,Barisal Division,Kalapara,21.8167,90.1238,"https://www.google.com/maps?q=21.8167,90.1238"
https://www.airbnb.com/rooms/647702799647528151?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P35Jccf1bVfawmjX&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/647702799647528151,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8156,90.138,"https://www.google.com/maps?q=21.8156,90.138"
https://www.airbnb.com/rooms/663036023259551092?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3vif2RaNXmd5B2C&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/663036023259551092,Boutique Hotel In Barisal Division ,Barisal Division,Kalapara,21.8168,90.1238,"https://www.google.com/maps?q=21.8168,90.1238"
https://www.airbnb.com/rooms/637964889839166666?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3TZ38s5V_cQQ5Y5&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/637964889839166666,Boutique Hotel In লতাচাপলী ,Barisal Division,Kalapara,21.8187,90.121,"https://www.google.com/maps?q=21.8187,90.121"
https://www.airbnb.com/rooms/43391797?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3IQ5aLVPvQEuQbm&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/43391797,Resort In Kuakata ,Barisal Division,Kalapara,21.82626,90.10754,"https://www.google.com/maps?q=21.82626,90.10754"
https://www.airbnb.com/rooms/663017541545565849?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3udeCodqrHfvKQy&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/663017541545565849,Boutique Hotel In Barisal Division ,Barisal Division,Kalapara,21.8169,90.1236,"https://www.google.com/maps?q=21.8169,90.1236"
https://www.airbnb.com/rooms/647684070585156265?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P31JUu-QVCbITcXD&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647684070585156265,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8155,90.1382,"https://www.google.com/maps?q=21.8155,90.1382"
https://www.airbnb.com/rooms/647670046577568427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P36nWDYSL0p7Itqi&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647670046577568427,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8155,90.138,"https://www.google.com/maps?q=21.8155,90.138"
https://www.airbnb.com/rooms/647654879943153619?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3acOBkBKOni6cqx&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647654879943153619,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8154,90.1376,"https://www.google.com/maps?q=21.8154,90.1376"
https://www.airbnb.com/rooms/647664014968761260?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3mhWVKxAS8sifZC&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647664014968761260,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8156,90.1381,"https://www.google.com/maps?q=21.8156,90.1381"
https://www.airbnb.com/rooms/647673782538680311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3sDxktddap6uglF&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647673782538680311,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8156,90.1377,"https://www.google.com/maps?q=21.8156,90.1377"
https://www.airbnb.com/rooms/647676254525607072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221292_P3IuComH3Vb38vtf&previous_page_section_name=1000&federated_search_id=fd9c7239-80f1-4ad8-b8dc-c07d58bb2118,https://www.airbnb.com/rooms/647676254525607072,Boutique Hotel In Patuakhali ,Barisal Division,Kalapara,21.8155,90.1378,"https://www.google.com/maps?q=21.8155,90.1378"
