,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/904734326143818146/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221264_P3FqMqUThZbN4Gca&previous_page_section_name=1000&federated_search_id=d4d0a6b2-86be-4b37-8546-625e171c4901,Suraj,https://www.airbnb.com/users/show/495848312,"Rating, 5 stars,  · January 2024","It was a wonderful stay and felt at home. The stay was neatly maintained and had all the amenities which was required. The host was very good and responsive at times.
I would strongly recommend to people who need a private and peaceful time around.",1 year on Airbnb
1,https://www.airbnb.com/rooms/904734326143818146/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221264_P3FqMqUThZbN4Gca&previous_page_section_name=1000&federated_search_id=d4d0a6b2-86be-4b37-8546-625e171c4901,Shruti,https://www.airbnb.com/users/show/551622125,"Rating, 5 stars,  · December 2023",The place is really amazing and clean. Loved it❤️,5 months on Airbnb
2,https://www.airbnb.com/rooms/904734326143818146/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221264_P3FqMqUThZbN4Gca&previous_page_section_name=1000&federated_search_id=d4d0a6b2-86be-4b37-8546-625e171c4901,Rahul,https://www.airbnb.com/users/show/270729533,"Rating, 5 stars,  · December 2023",The location of the place is fab …peaceful and quiet ..feels like you staying in the countryside even after being just a few kilometres from the city centre ..the place is exactly as described …cozy and homely …Nehal is a good host ..responsive and helpful ..I would certainly recommend this place to people and groups looking no for a quiet and peaceful stay here in Siliguri,5 years on Airbnb
