,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Joseph,https://www.airbnb.com/users/show/534992916,"Rating, 5 stars,  · April 2024,  · Stayed one night",Clean house and well behaved host,"Sylhet, Bangladesh"
1,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Joseph,https://www.airbnb.com/users/show/534992916,"Rating, 5 stars,  · April 2024,  · Stayed a few nights",Best place to stay by far in dhaka. Really well maintained flat. Very friendly host.,"Sylhet, Bangladesh"
2,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Joseph,https://www.airbnb.com/users/show/534992916,"Rating, 5 stars,  · March 2024,  · Stayed a few nights",Really comfortable place to stay and the host is very helpful. Definitely staying again,"Sylhet, Bangladesh"
3,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Atik,https://www.airbnb.com/users/show/282743538,"Rating, 5 stars,  · February 2024,  · Stayed about a week","Mr. Rakib was a very responsive and we'll communicated. Always replied within seconds.

And the place, it was a squeaky clean and very well decorated. Felt right at home. Never expected this good of a stay in Bangladesh. Went above and beyond my expectations. Highly recommend.","Nanaimo, Canada"
4,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Abiz,https://www.airbnb.com/users/show/560518087,"Rating, 5 stars,  · February 2024,  · Stayed a few nights",Rakib is a very friendly person :),"Worms, Germany"
5,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Indranil,https://www.airbnb.com/users/show/34804435,"Rating, 5 stars,  · December 2023","Excellent place to stay in Dhaka, Basundhara. we chose this place as it is very near to our friends house. Extremely beautiful flat with 3 bedrooms with all required amenities. Very helpful attendant (Shafique) too.",9 years on Airbnb
6,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Garrison,https://www.airbnb.com/users/show/162140397,"Rating, 5 stars,  · December 2023,  · Stayed over a week",Best Airbnb to stay at in all of dhaka!,"St. Louis, Missouri"
7,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Garrison,https://www.airbnb.com/users/show/162140397,"Rating, 5 stars,  · November 2023,  · Stayed over a week",It was a fine place to stay,"St. Louis, Missouri"
8,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,선묵,https://www.airbnb.com/users/show/538686038,"Rating, 4 stars,  · October 2023",I was able to stay comfortably.,8 months on Airbnb
9,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Mahi,https://www.airbnb.com/users/show/524282352,"Rating, 5 stars,  · October 2023,  · Stayed one night",A great experience with this place. Thanks for being so good.,"Helsinki, Finland"
10,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Mahi,https://www.airbnb.com/users/show/524282352,"Rating, 5 stars,  · September 2023,  · Stayed one night",A nice and cozy place to stay. I just love it.,"Helsinki, Finland"
11,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Mohammad,https://www.airbnb.com/users/show/372615431,"Rating, 5 stars,  · September 2023,  · Stayed a few nights",Mr. Rakib was a very humble host. He was very responsive when I needed to contact him as I was in super rush and needed a quick check in. The location and surroundings are in a very well managed society. Mr. Rakib cared about guest wellbeing and always responded.,"Ajman, United Arab Emirates"
12,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Md Pintu,https://www.airbnb.com/users/show/486311918,"Rating, 5 stars,  · September 2023,  · Stayed a few nights","He is so concerned. He is one of the best host. I recommend you guys to book here. Super safe and comfortable. I will definitely comeback.
Thank you
Mr. Rakib","Riyadh, Saudi Arabia"
13,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Imran,https://www.airbnb.com/users/show/228306685,"Rating, 5 stars,  · September 2023",Rakib is a great host. Always responded to my calls and his place is same as the pictures.,6 years on Airbnb
14,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Fakhrul,https://www.airbnb.com/users/show/125538338,"Rating, 5 stars,  · September 2023",Fantastic place to live,7 years on Airbnb
15,https://www.airbnb.com/rooms/42476372/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-22&check_out=2024-06-27&source_impression_id=p3_1718223452_P3hwtxCiohlo9K_y&previous_page_section_name=1000&federated_search_id=4148d1aa-fd94-4710-9068-8e2e677c52ca,Syful,https://www.airbnb.com/users/show/425129698,"Rating, 5 stars,  · August 2023,  · Stayed one night",Very tidy and lovely apartment equipped with everything like photos.A good bed and nice bathroom. Rakib is a great host and very responsive. We had a great stay!,3 years on Airbnb
