,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/639081474014721106/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223445_P3Qkhj7a9SMoqGYx&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Jessica,https://www.airbnb.com/users/show/48242124,"Rating, 5 stars,  · June 2022,  · Stayed a few nights",We had a great stay. Clean and well maintained property in a good location. The hosts were very helpful.,9 years on Airbnb
1,https://www.airbnb.com/rooms/639081474014721106/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223445_P3Qkhj7a9SMoqGYx&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Roksana,https://www.airbnb.com/users/show/441038505,"Rating, 5 stars,  · June 2022,  · Stayed a few nights","Great place, very spacious too. Jayed was a host and very quick to respond. Will recommend it.",2 years on Airbnb
2,https://www.airbnb.com/rooms/639081474014721106/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223445_P3Qkhj7a9SMoqGYx&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Muhit,https://www.airbnb.com/users/show/293712963,"Rating, 5 stars,  · June 2022",Best so far !,5 years on Airbnb
3,https://www.airbnb.com/rooms/639081474014721106/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223445_P3Qkhj7a9SMoqGYx&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Ramesh,https://www.airbnb.com/users/show/2618289,"Rating, 5 stars,  · June 2022",Good ok for us no any problem,12 years on Airbnb
