,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Junaid,https://www.airbnb.com/users/show/132927351,"Rating, 5 stars,  · 1 week ago,  · Group trip",Place was as described. Location was good and calm. Would recommend,"New York, New York"
1,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Sanjida,https://www.airbnb.com/users/show/271589831,"Rating, 5 stars,  · May 2024,  · Stayed one night","I booked Mr. Rahi's place for my wedding guests. The apartment was very clean and had all modern amenities required for a cozy stay.
The host was very flexible about our check-in time as we requested a late check-in beforehand. It was a pleasant stay for all my guests.",United Kingdom
2,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Sourave,https://www.airbnb.com/users/show/489497493,"Rating, 5 stars,  · April 2024,  · Stayed a few nights","Location is great. Easy to commute around dhaka. Place was just as described. It was cleaned decently prior to us checking in. The only issue I could talk about was that the AC wasn’t working properly. Even on 16 degrees it wasn’t cooling the room as much as one would expect. Other than that, everything was perfectly fine. The caretaker was a really nice guy. He was very helpful. Would recommend this place to a friend.",2 years on Airbnb
3,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Omar,https://www.airbnb.com/users/show/258596378,"Rating, 5 stars,  · February 2024,  · Group trip","Rahi bhai was proactive and very helpful from day 1.
would recommend everyone to stay at this place because of the great hospitality, spacious and clean rooms. Worth the money",5 years on Airbnb
4,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Anika,https://www.airbnb.com/users/show/149218373,"Rating, 5 stars,  · January 2024","Great response to changes needed, super fast, respectful, and really helpful",7 years on Airbnb
5,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Ferdous,https://www.airbnb.com/users/show/51965354,"Rating, 5 stars,  · December 2023","Rahi’s place is really fantastic for staying here with family. Nice and clean, well maintained service apparent, close to all amenities. Definitely a nice and professional host.
Booked again to stay here.
Cheers",8 years on Airbnb
6,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Ismot,https://www.airbnb.com/users/show/375490846,"Rating, 5 stars,  · December 2023,  · Stayed a few nights","It was great staying in there!
Recommend!",4 years on Airbnb
7,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Mona,https://www.airbnb.com/users/show/477486209,"Rating, 4 stars,  · December 2023,  · Stayed with kids",Good place overall we enjoyed our stay here. Location is very nice close to market and hospital.,2 years on Airbnb
8,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Rahman,https://www.airbnb.com/users/show/360593198,"Rating, 1 star,  · November 2023,  · Stayed a few nights",Overall poor experience,"New York, United States"
9,https://www.airbnb.com/rooms/887366311079549352/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221358_P3gnKIYVM2fv-BHt&previous_page_section_name=1000&federated_search_id=c99ad9ab-9881-4efa-8752-b3e22ea2c0fa,Mohammad Shiropa Dipto,https://www.airbnb.com/users/show/366891719,"Rating, 5 stars,  · November 2023,  · Stayed a few nights",Nice place! Great location. Highly recommend.,4 years on Airbnb
