,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Suman,https://www.airbnb.com/users/show/580495354,"Rating, 5 stars,  · 1 day ago,  · Stayed with kids",thats a nice place to stay and safe.. one minute far west thana and everything nearby.. i feel like home .. thanks for landlord who communicate well and managed properly...,New to Airbnb
1,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Hashib,https://www.airbnb.com/users/show/148386791,"Rating, 5 stars,  · March 2024,  · Stayed about a week","The host was exceptionally hospitable and welcoming, creating a comfortable and familiar atmosphere. I highly recommend this accommodation and would gladly stay here again in the future.",7 years on Airbnb
2,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Tania,https://www.airbnb.com/users/show/554621781,"Rating, 5 stars,  · March 2024,  · Stayed with kids",The host and house attendants were extremely responsive and helpful. I had a very pleasant stay with my family.,5 months on Airbnb
3,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Tanvir,https://www.airbnb.com/users/show/302633744,"Rating, 2 stars,  · February 2024,  · Stayed about a week","The host was responsive to my texts. The area was nice, it was a rickshaw ride away from wherever I had to go within Uttara. I felt secured inside the house and in the neighborhood.
That marks the end of good things to say. The gatekeeper mr. joynal was a nightmare to deal with. His constants grunts and unwelcoming behavior made me think twice to come back here at night. I was in Dhaka for a marriage in the family and had to returned back only once around past 12AM. What a nightmare it was to face mr. joynal and hear his constant complains about opening the gate so late. My wife gave him 500 bdt before we left, which still bothers me because I don't think it was deserved.
The apartment itself was nice, a standard Uttara apartment so to say. But the mattresses were hard and stiff. Specially in one of the main bedrooms. We had to borrow mattress topper from friends before being able to use it. The kitchen was dirty, there were cockroaches running around there.","Windsor, Connecticut"
4,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Sharifa,https://www.airbnb.com/users/show/526185530,"Rating, 5 stars,  · August 2023,  · Stayed with kids",This is an excellent apartment to spend one’s vacation. The host responds to the guest’s needs promptly and resolves any issues right away. Awesome guest service. It feels like staying home. I recommend this place.,10 months on Airbnb
5,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Kevin,https://www.airbnb.com/users/show/166429703,"Rating, 4 stars,  · February 2023,  · Stayed one night",Shafiul was very proactive before our visit in his communications. He also responded rapidly to any needs that we had. A few items were missing but he responded quickly. We appreciated his help and our stay.,"Danville, California"
6,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Sadikur,https://www.airbnb.com/users/show/483769450,"Rating, 5 stars,  · February 2023",Excellent place to stay. Very quiet and secure surrounding in a very good location.,2 years on Airbnb
7,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Kamanashis,https://www.airbnb.com/users/show/439472868,"Rating, 5 stars,  · November 2022,  · Stayed a few nights",Great place to stay !!,"Saskatoon, Canada"
8,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Kamanashis,https://www.airbnb.com/users/show/439472868,"Rating, 5 stars,  · November 2022,  · Stayed a few nights",Wonderful place to stay !!,"Saskatoon, Canada"
9,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Abdullah,https://www.airbnb.com/users/show/222712118,"Rating, 5 stars,  · October 2022,  · Stayed one night","The place is amazing and convenient. We enjoyed our stay very much and really appreciate the effort put by the host, Shafiul Azam. Thank you and the place is highly recommended.","Warren, Michigan"
10,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Kawsar,https://www.airbnb.com/users/show/286593088,"Rating, 5 stars,  · September 2022,  · Group trip",thanks,"Dhaka, Bangladesh"
11,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Anveer,https://www.airbnb.com/users/show/181381529,"Rating, 5 stars,  · September 2022,  · Stayed one night",A nice and big house to stay. The location is pretty good as well. Loved it!,"Kuala Lumpur, Malaysia"
12,https://www.airbnb.com/rooms/607764792395946368/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222972_P3z8_ZlRdvTyICaq&previous_page_section_name=1000&federated_search_id=612007b9-88bb-4929-bf13-41ff9c414563,Shah Rehan,https://www.airbnb.com/users/show/181119832,"Rating, 5 stars,  · September 2022","It was an amazing experience for me and my family to stay at this place. The host is an amazing person. He was very much helpful. The area was clean and the caretaker was so helpful as well. There is a cleaner on site for our help. The place is far better than the pictures. Hopefully in future if am staying anywhere in Dhaka then it will be this place every time.
Recommended this place 10000%",6 years on Airbnb
