,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/1085180275580418241/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221348_P3TGmp3S-Ofj6k0d&previous_page_section_name=1000&federated_search_id=d347c08e-e8e8-46b2-a247-d7304f798c84,Mohammed,https://www.airbnb.com/users/show/467456952,"Rating, 5 stars,  · May 2024,  · Stayed about a week",Great place to stay! This is a ideal house & location for short term staying 👌 All the staff and the Manager are very supportive as well as attentive! I felt at home from the beginning to end. I will be looking forward to staying again. I was very happy to stay here.,2 years on Airbnb
1,https://www.airbnb.com/rooms/1085180275580418241/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221348_P3TGmp3S-Ofj6k0d&previous_page_section_name=1000&federated_search_id=d347c08e-e8e8-46b2-a247-d7304f798c84,Pritom,https://www.airbnb.com/users/show/56469316,"Rating, 5 stars,  · April 2024,  · Stayed a few nights","This place is fantastic, offering a prime location and exceptional security. The staff and host are incredibly attentive and caring, ensuring a pleasant stay. It's an excellent choice for both family vacations and solo trips. I highly recommend it!",8 years on Airbnb
2,https://www.airbnb.com/rooms/1085180275580418241/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221348_P3TGmp3S-Ofj6k0d&previous_page_section_name=1000&federated_search_id=d347c08e-e8e8-46b2-a247-d7304f798c84,Iftekhar Al,https://www.airbnb.com/users/show/494834655,"Rating, 5 stars,  · April 2024,  · Stayed a few nights",I would say it was one of the best,1 year on Airbnb
