,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Tahmid,https://www.airbnb.com/users/show/467878026,"Rating, 5 stars,  · December 2023,  · Stayed one night",It was a nice stay.,2 years on Airbnb
1,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Araf,https://www.airbnb.com/users/show/453311375,"Rating, 5 stars,  · September 2023,  · Stayed one night",Robin was an excellent host. Always available to any queries and the place was absolutely comfortable to stay in. Good security with the cameras in the common area and great staff at the building to assist to any external needs.,2 years on Airbnb
2,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Sayed,https://www.airbnb.com/users/show/382491890,"Rating, 5 stars,  · April 2022,  · Stayed one night",Great place to stay!,"Dhaka, Bangladesh"
3,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Agnes,https://www.airbnb.com/users/show/365727310,"Rating, 4 stars,  · October 2020,  · Stayed about a week","Those who wants a shared place it's ok, but overall everything is fine, the manger is always in the living room, he can be in his room instead, if any problem then could have called immediately. Overall ok",4 years on Airbnb
4,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Muhibbur,https://www.airbnb.com/users/show/293408849,"Rating, 5 stars,  · September 2020,  · Stayed a few nights",This was my first sty with AIRBNB and it was good.,"Khulna, Bangladesh"
5,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Abid,https://www.airbnb.com/users/show/147019217,"Rating, 5 stars,  · August 2020,  · Stayed a few nights","Robin is an amazing host; very responsive and helpful. The caretaker Sumon is awesome too! He is very polite, helpful, and organized.","Munich, Germany"
6,https://www.airbnb.com/rooms/42618025/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718221377_P3y2MCnznjbszbdk&previous_page_section_name=1000&federated_search_id=729f36b1-7925-40bc-8c66-a9e879b061c9,Juan Carlos,https://www.airbnb.com/users/show/117827503,"Rating, 5 stars,  · March 2020,  · Stayed one night","The apartment I stayed in is located barely 15-20 mins max from the airport which could be very convenient for a late arrival or an early departure, everything including the construction was brand new and the cleaning was impecable but the highlight of this experience is the attention of the host. Although we didn’t meet in person Robin was all the time available on-line to respond me queries and help me with whatever was necessary.",7 years on Airbnb
