,review_link,reviewer_name,reviewer_profile_link,info,rating_comment,rating_extra
0,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Parvez,https://www.airbnb.com/users/show/250405548,"Rating, 5 stars,  · February 2024,  · Stayed one night",Very good behaviour and easy going place. Also pretty budget friendly.,5 years on Airbnb
1,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Shah,https://www.airbnb.com/users/show/475055920,"Rating, 5 stars,  · September 2023,  · Stayed one night","Accommodations were nice and tidy.
Behaviour was excellent. I suggest to stay there.",2 years on Airbnb
2,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Shahriar,https://www.airbnb.com/users/show/384614232,"Rating, 3 stars,  · January 2023,  · Stayed one night","Great host, clean place. But there was no hot water in this mid winter. Overall good stay.","Dhaka, Bangladesh"
3,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Arman,https://www.airbnb.com/users/show/475149096,"Rating, 5 stars,  · August 2022,  · Stayed one night",⭐⭐⭐⭐⭐,2 years on Airbnb
4,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Ahmed,https://www.airbnb.com/users/show/299919050,"Rating, 4 stars,  · August 2022,  · Stayed a few nights",good enough,"Dhaka Division, Bangladesh"
5,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Kawsar,https://www.airbnb.com/users/show/286593088,"Rating, 4 stars,  · May 2022,  · Stayed one night",Thank you,"Dhaka, Bangladesh"
6,https://www.airbnb.com/rooms/583758214618414443/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1361690286&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223445_P3FUC2on6n72AC6t&previous_page_section_name=1000&federated_search_id=f99de383-b41a-4547-8740-ec45f74c7202,Mohammed,https://www.airbnb.com/users/show/420784259,"Rating, 5 stars,  · May 2022,  · Stayed one night",Not stays,3 years on Airbnb
