listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/1117123115942256055?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1865797475&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221012_P32f55ofPamz_uBI&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · 1 bedroom · 1 bath,$32 ,1 review,https://www.airbnb.com/rooms/1117123115942256055/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1865797475&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221012_P32f55ofPamz_uBI&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,https://www.airbnb.com/users/show/101266072,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=22.363458,91.807989&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['TV', 'Air conditioning', 'Lock on bedroom door', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Host greets you', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/741275292377686815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P34Bz_lX1nC0inCV&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · 3 bedrooms · 4 beds · 4 baths,$84 ,1 review,https://www.airbnb.com/rooms/741275292377686815/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P34Bz_lX1nC0inCV&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,https://www.airbnb.com/users/show/483375765,Response rate: 50%,"Bring the whole family over to this exquisite & spacious 3 bedroom apartment. This includes 3 bathrooms, a fully equipped kitchen with an additional toilet & store room as well. The drawing room, dining room & living room are all very spacious and are a great opportunity for inviting guests over and to have a great family time. There are a great number of highly rated restaurants in the area including a steakhouse and a café, as well as malls & grocery store. All being within walking distance..",,,,,,,"https://maps.google.com/maps?ll=22.36298,91.82796&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Mountain view', 'Free washer – In unit', 'Free dryer – In unit', '42 inch TV with standard cable', 'Exercise equipment', 'Children’s books and toys', 'Children’s dinnerware', 'AC - split type ductless system', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Fire extinguisher', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Private hot tub', 'Unavailable: Wifi\nWifi', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/46789946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-21&source_impression_id=p3_1718221012_P3Ru5ryn0XNSs5_c&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · ★4.33 · 3 bedrooms · 3 beds · 4.5 baths,$20 ,3 reviews,https://www.airbnb.com/rooms/46789946/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-21&source_impression_id=p3_1718221012_P3Ru5ryn0XNSs5_c&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,https://www.airbnb.com/users/show/193917847,Response rate: 100%,,3.3,4.3,3.7,4.3,4.7,4.7,"https://maps.google.com/maps?ll=22.3669,91.8291&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Bidet', 'Hot water', 'Essentials', 'Ethernet connection', 'TV', 'AC - split type ductless system', 'Ceiling fan', 'Kitchen', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dining table', 'Free parking on premises', 'Elevator', 'Pets allowed', 'Smoking allowed', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/33146710?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-23&source_impression_id=p3_1718221012_P3F7Jp8rB150AQkI&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · 3 bedrooms · 1 bath,$14 ,,,https://www.airbnb.com/users/show/249410653,Responds within a few days or more,The space,,,,,,,"https://maps.google.com/maps?ll=22.37806,91.85498&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'TV with standard cable', 'Indoor fireplace', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Stove', 'Private entrance', 'Free parking on premises', 'Free street parking', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/948148933560648885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P3xzzeb9LoMesmlN&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Tiny home in Chittagong · 1 bedroom · 1 bed · 1 bath,$8 ,,,https://www.airbnb.com/users/show/196272404,Response rate: 100%,"Welcome to our cozy and unique furnished living room nestled under the enchanting stairwell! This charming space is waiting to welcome you with open arms and promises a truly unforgettable stay.

Close to attractions and equipped with modern amenities, it's a truly unique Airbnb experience. Book now!",,,,,,,"https://maps.google.com/maps?ll=22.3563,91.8107&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Outdoor shower', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Smoking allowed', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
