listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/838409736594617593?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223037_P3Ss4Ao__AH501-Z&previous_page_section_name=1000&federated_search_id=d5b15476-0204-48f5-80b0-938fc87dfbab,Motijheel,Serviced apartment in Dhaka · 1 bedroom · 1 private bath,$39 ,,,https://www.airbnb.com/users/show/496174830,Responds within a few days or more,"Luxurious 2 bedroom apartment in Dhaka. Fully Furnished,equipped kitchen,luxurious attached washroom,Ac,specious living area and beautiful open balcony.",,,,,,,"https://maps.google.com/maps?ll=23.74342,90.4266&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Paid parking on premises', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/806735946921169420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223040_P3qhBAvEgrWfjOyN&previous_page_section_name=1000&federated_search_id=7b4074e5-c71a-4496-9eac-c7193e1aa087,Motijheel,Rental unit in Dhaka · 2 bedrooms · 2 beds · 2 baths,$39 ,,,https://www.airbnb.com/users/show/369755401,Response rate: 100%,Your family will be close to everything when you stay at this centrally-located place.,,,,,,,"https://maps.google.com/maps?ll=23.7463,90.42755&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Kitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1060738834382946548?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223042_P3d--vHBtQ0AKP0q&previous_page_section_name=1000&federated_search_id=57b69c24-4e2a-4e7d-8287-aa48302b4143,Motijheel,Rental unit in Dhaka · 3 bedrooms · 3 beds · 3 baths,$68 ,,,https://www.airbnb.com/users/show/554181237,,Your family will be close to everything when you stay at this centrally-located place.,,,,,,,"https://maps.google.com/maps?ll=23.7522,90.4143&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['City skyline view', 'Hair dryer', 'Hot water', 'Washer', 'Hangers', 'Bed linens', 'Iron', 'Mosquito net', 'Clothing storage: closet, wardrobe, and dresser', 'TV', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Paid parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/42611763?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,Bashundhara Residential Area,Serviced apartment in Dhaka · ★4.11 · 1 bedroom · 2 beds · 1 bath,$50 ,36 reviews,https://www.airbnb.com/rooms/42611763/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,https://www.airbnb.com/users/show/120995237,Response rate: 100%,,4.1,4.0,4.6,4.4,4.4,4.1,"https://maps.google.com/maps?ll=23.8206,90.4274&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['City skyline view', 'Courtyard view', 'Garden view', 'Park view', 'Pool view', 'Hair dryer', 'Cleaning products', 'Sunsilk shampoo', 'Savlon body soap', 'Outdoor shower', 'Hot water', 'Paid washer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Safe', 'Mosquito net', 'Clothing storage: walk-in closet, closet, wardrobe, and dresser', '43 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku, standard cable', 'Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat, workout bench, rowing', 'Books and reading material', 'Movie theater', 'Paid crib - available upon request', 'Paid pack ’n play/travel crib - available upon request', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old', 'Paid standalone high chair - available upon request', 'Children’s dinnerware', 'Changing table - available upon request', 'Window guards', 'Outlet covers', ""Children's playroom"", 'Outdoor playground', 'AC - split type ductless system', 'Ceiling fan', 'Heating - split type ductless system', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Sharp refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Other stainless steel induction stove', 'Sharp stainless steel single oven', 'Hot water kettle', 'Coffee maker: drip coffee maker, espresso machine, Nespresso', 'Wine glasses', 'Toaster', 'Blender', 'Dining table', 'Coffee', 'Waterfront', 'Private entrance', 'Laundromat nearby', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Outdoor kitchen with oven, sink', 'Private BBQ grill: charcoal, electric, gas, wood-burning', 'Sun loungers', 'Free parking on premises', 'Free street parking', 'Private outdoor pool - available all year, open specific hours, heated, infinity, lap pool, rooftop, water slide', 'Private sauna', 'Elevator', 'Private gym in building', 'Paid parking garage on premises – 20 spaces', 'Pets allowed', 'Luggage dropoff allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/939911358194874327?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223058_P3qjZu4oiI3v8Mh-&previous_page_section_name=1000&federated_search_id=2dc055f5-4a39-4a0a-ad14-19a22df15daa,Bashundhara Residential Area,Rental unit in Dhaka · ★3.75 · 4 bedrooms · 4 baths,$58 ,4 reviews,https://www.airbnb.com/rooms/939911358194874327/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223058_P3qjZu4oiI3v8Mh-&previous_page_section_name=1000&federated_search_id=2dc055f5-4a39-4a0a-ad14-19a22df15daa,https://www.airbnb.com/users/show/409775960,Response rate: 100%,,3.5,3.5,4.8,5.0,5.0,3.8,"https://maps.google.com/maps?ll=23.817352,90.431394&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Iron', 'TV', ""Children's playroom"", 'Outdoor playground', 'Air conditioning', 'Noise decibel monitors on property', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Outdoor dining area', 'BBQ grill', 'Free parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
