listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/1169148408725993193?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223352_P32uM9BBUdaXpGj4&previous_page_section_name=1000&federated_search_id=fb0798eb-5e6c-4388-ae16-e3d880d772ca,Savar,Home in Dhaka · ★New · 1 bedroom · 1 bath,$31 ,,,https://www.airbnb.com/users/show/576349395,Response rate: 100%,"Relax with the whole family at this peaceful place to stay.This special place is close to everything, making it easy to plan your visit. Minutes from all the happenings. Very close to the airport as well!

You won’t be driving around the neighborhood trying to find the location— it’s right when you turn into the uttara gate! Located within the tristate (so very close to all the best eats & hangout places). Most importantly: it’s a very safe neighborhood, located next to high-profile politicians,",,,,,,,"https://maps.google.com/maps?ll=23.836635,90.36522&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Outdoor shower', 'Washer', 'Iron', 'TV', 'Crib', 'Air conditioning', 'Indoor fireplace', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Cooking basics', 'Outdoor dining area', 'Free parking on premises', 'Hot tub', 'Paid parking on premises', 'Pets allowed', 'Self check-in', 'Building staff', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/7718891?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=86137279&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223364_P3HJbOChaN2eI9b0&previous_page_section_name=1000&federated_search_id=01bf6575-97c3-486e-a600-d1b4ca280a87,Savar,Home in Dhaka · ★5.0 · 4 bedrooms · 4 beds · 4 baths,$240 ,3 reviews,https://www.airbnb.com/rooms/7718891/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=86137279&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223364_P3HJbOChaN2eI9b0&previous_page_section_name=1000&federated_search_id=01bf6575-97c3-486e-a600-d1b4ca280a87,https://www.airbnb.com/users/show/40558253,,The space,4.7,4.0,5.0,5.0,4.7,5.0,"https://maps.google.com/maps?ll=23.86612,90.28543&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'TV with standard cable', 'Air conditioning', 'Heating', 'Fire extinguisher', 'First aid kit', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Stove', 'Oven', 'Lake access', 'Patio or balcony', 'Backyard', 'BBQ grill', 'Free parking on premises', 'Breakfast', 'Smoking allowed', 'Unavailable: Lock on bedroom door\nLock on bedroom door', 'Unavailable: Wifi\nWifi', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/951331743293361988?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-03&check_out=2024-07-08&source_impression_id=p3_1718223364_P3lOO-t8JxLnvI4Y&previous_page_section_name=1000&federated_search_id=01bf6575-97c3-486e-a600-d1b4ca280a87,Savar,Rental unit in Dhaka · 3 bedrooms · 3 beds · 3 baths,$31 ,2 reviews,https://www.airbnb.com/rooms/951331743293361988/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-03&check_out=2024-07-08&source_impression_id=p3_1718223364_P3lOO-t8JxLnvI4Y&previous_page_section_name=1000&federated_search_id=01bf6575-97c3-486e-a600-d1b4ca280a87,https://www.airbnb.com/users/show/530040332,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=23.8675,90.3711&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Lake view', 'Hair dryer', 'Cleaning products', 'CLEAR shampoo', 'LUX body soap', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Safe', 'Mosquito net', 'Clothing storage: closet', '40 inch HDTV', 'Outdoor playground', 'Air conditioning', 'Ceiling fan', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Kitchen', 'WALTON refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Other stainless steel gas stove', 'WALTON stainless steel single oven', 'Dining table', 'Lake access', 'Free parking on premises', 'Elevator', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Host greets you', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1158799761390747754?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1909574567&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718223367_P3ml0FYw1hLGSK-4&previous_page_section_name=1000&federated_search_id=11437b7d-3f3b-4cee-88c8-6a434dcf330e,Savar,Rental unit in Dhaka · ★New · 1 bedroom · 1 bed · 1 bath,$20 ,,,https://www.airbnb.com/users/show/531031410,,"Welcome to our Airbnb listing in Mirpur, Dhaka! We're excited to present our meticulously maintained and charming room, ideally located near a park, restaurants, and the metro station. Designed for couples seeking privacy and warmth, comfortable and enjoyable stay together. The room is equipped with modern amenities including a lift, generator, AC, fridge, oven, Wi-Fi, etc. Everything you need for a delightful stay is provided. We trust you'll have a wonderful time during your stay.",,,,,,,"https://maps.google.com/maps?ll=23.842559,90.365607&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Exercise equipment', 'Air conditioning', 'Lock on bedroom door', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Outdoor dining area', 'Free parking on premises', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/931606453973010852?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223369_P3wp69HFVyF5sja8&previous_page_section_name=1000&federated_search_id=20d43759-9cfc-4cd9-a93d-e8b9f0f020f3,Savar,Rental unit in Dhaka · 3 bedrooms · 3 beds · 3 baths,$26 ,1 review,https://www.airbnb.com/rooms/931606453973010852/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223369_P3wp69HFVyF5sja8&previous_page_section_name=1000&federated_search_id=20d43759-9cfc-4cd9-a93d-e8b9f0f020f3,https://www.airbnb.com/users/show/507577251,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=23.85441,90.360866&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Canal view', 'City skyline view', 'Garden view', 'Lake view', 'Courtyard view', 'Park view', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Mosquito net', 'Clothing storage: wardrobe', '40 inch HDTV with Netflix', 'AC - split type ductless system', 'Ceiling fan', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Vision refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Vision stainless steel single oven', 'Hot water kettle', 'Blender', 'Dining table', 'Coffee', 'Waterfront', 'Lake access', 'Shared backyard – Fully fenced', 'Free residential garage on premises – 1 space', 'Elevator', 'Long term stays allowed', 'Cleaning available during stay', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
