listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/708661443339945063?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1484320352&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223723_P3CjTfQf-0oGX89I&previous_page_section_name=1000&federated_search_id=c0152b8b-88b4-42f0-999e-e0de50138f20,Moghbazar,Rental unit in Dhaka · ★4.0 · 1 bedroom · 1 shared bath,$10 ,8 reviews,https://www.airbnb.com/rooms/708661443339945063/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1484320352&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223723_P3CjTfQf-0oGX89I&previous_page_section_name=1000&federated_search_id=c0152b8b-88b4-42f0-999e-e0de50138f20,https://www.airbnb.com/users/show/150306357,,The space,4.1,4.2,4.2,4.4,4.2,4.0,"https://maps.google.com/maps?ll=23.7342,90.4163&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'Dryer', 'Essentials', '32 inch HDTV', 'Air conditioning', 'Lock on bedroom door', 'Exterior security cameras on property', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Smoking allowed', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/810444664446099078?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1571590368&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223728_P3L1fc4XexyuSzCP&previous_page_section_name=1000&federated_search_id=149d270b-a0f0-4e0e-bec5-7d489e8d61b7,Moghbazar,Rental unit in Dhaka · 1 bedroom · 1 bed · 1 shared bath,$10 ,2 reviews,https://www.airbnb.com/rooms/810444664446099078/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1571590368&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223728_P3L1fc4XexyuSzCP&previous_page_section_name=1000&federated_search_id=149d270b-a0f0-4e0e-bec5-7d489e8d61b7,https://www.airbnb.com/users/show/497419215,,"Forget your worries in this spacious and serene space.Welcome to ""Nafisa's Sweet Home""! Our cozy and comfortable private room is equipped with all the necessary amenities including a shared washroom. Enjoy a refreshing cup of organic mint tea made from mint grown in our Aquaphonics garden. We prioritize cleanliness and hygiene to ensure that our guests have a safe and healthy stay. We offer 24-hour electric supply.",,,,,,,"https://maps.google.com/maps?ll=23.75832,90.43246&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Washer', 'Essentials', 'Iron', 'Lock on bedroom door', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Free parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/608773495427126129?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-20&check_out=2024-06-25&source_impression_id=p3_1718223733_P3tYnbgLo-NEnAYI&previous_page_section_name=1000&federated_search_id=260498b0-ecb0-4cb0-86b8-f0db0c99c2bf,Moghbazar,Rental unit in Dhaka · ★5.0 · 2 bedrooms · 2 beds · 2 baths,$40 ,3 reviews,https://www.airbnb.com/rooms/608773495427126129/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-20&check_out=2024-06-25&source_impression_id=p3_1718223733_P3tYnbgLo-NEnAYI&previous_page_section_name=1000&federated_search_id=260498b0-ecb0-4cb0-86b8-f0db0c99c2bf,https://www.airbnb.com/users/show/455075119,Response rate: 100%,"Relax with the whole family at this peaceful place to stay. There are two rooms each at end of the apartment, one of them having attached high commode WC and balcony. You will find almost everything readily available over there including kitchen and non frost freezer. Hatirjheel lake area is walking distance away.  Airport and Railway station is also near within 5 to 6  mile ranges. Diplomatic zone Gulshan is also nearby. The building is very peaceful. Security is ensured 24/7 . Near D.I.T road",4.0,5.0,5.0,5.0,5.0,5.0,"https://maps.google.com/maps?ll=23.7564,90.41387&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Cleaning products', 'Shampoo', 'Common body soap', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Mosquito net', 'Clothing storage: closet', 'TV', 'AC - split type ductless system', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Private patio or balcony', 'Paid parking on premises', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/616617803349296957?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223733_P3TyJ5tu3EZoZCTK&previous_page_section_name=1000&federated_search_id=260498b0-ecb0-4cb0-86b8-f0db0c99c2bf,Moghbazar,Serviced apartment in Dhaka · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,$26 ,6 reviews,https://www.airbnb.com/rooms/616617803349296957/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223733_P3TyJ5tu3EZoZCTK&previous_page_section_name=1000&federated_search_id=260498b0-ecb0-4cb0-86b8-f0db0c99c2bf,https://www.airbnb.com/users/show/56040444,Response rate: 90%,,4.7,4.8,5.0,5.0,5.0,4.5,"https://maps.google.com/maps?ll=23.78699,90.39989&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Garden view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Body soap', 'Hot water', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Safe', 'Mosquito net', 'Clothing storage', 'Window guards', 'AC - split type ductless system', 'Ceiling fan', 'Heating', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi – 36 Mbps', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stainless steel gas stove', 'Hot water kettle', 'Coffee maker', 'Trash compactor', 'Dining table', 'Private entrance', 'Private patio or balcony', 'Outdoor furniture', 'Free parking on premises', 'Free street parking', 'Elevator', 'Shared gym nearby', 'Private living room', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: HDTV with standard cable, Netflix, premium cable\nHDTV with standard cable, Netflix, premium cable', 'Unavailable: Dryer\nDryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
https://www.airbnb.com/rooms/35868604?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1112891591&search_mode=regular_search&check_in=2024-07-31&check_out=2024-08-05&source_impression_id=p3_1718223735_P3MZrdBUtINgcphd&previous_page_section_name=1000&federated_search_id=ff7b399d-ed51-4caa-ab74-b3df6190a38a,Moghbazar,Rental unit in Dhaka · ★4.94 · 1 bedroom · 1 bed · 1 private bath,$21 ,,,https://www.airbnb.com/users/show/269721656,,,4.9,4.9,5.0,5.0,4.9,4.9,"https://maps.google.com/maps?ll=23.7726,90.4136&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Shampoo', 'Body soap', 'Hot water', 'Paid washer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Drying rack for clothing', 'Clothing storage: closet', '32 inch TV', 'Window guards', 'AC - split type ductless system', 'Ceiling fan', 'Heating - split type ductless system', 'Lock on bedroom door', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Singer refrigerator', 'Microwave', 'Dishes and silverware', 'Freezer', 'Induction cooker induction stove', 'Oven', 'Hot water kettle', 'Toaster', 'Rice maker', 'Dining table', 'Waterfront', 'Lake access', 'Private patio or balcony', 'Luggage dropoff allowed', 'Smoking allowed', 'Long term stays allowed', 'Host greets you', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
