listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/37314497?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=851430647&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3FNr0RRbouyiwms&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,Rajshahi,Home in Hariharpara · 1 bedroom · 1 bed · 1 private bath,,,,https://www.airbnb.com/users/show/280873534,,"Hariharpara is a village, with a police station, in Hariharpara CD Block in Barhampur subdivision of Murshidabad district in the state of West Bengal, India. It is historical place there are many tomb and forts of old age it located there.",,,,,,,"https://maps.google.com/maps?ll=24.04627,88.42288&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Essentials', 'Lock on bedroom door', 'First aid kit', 'Private entrance', 'Breakfast', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/605608491559817345?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3W0jUJhliEHXqeU&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,Rajshahi,Hotel in Rajshahi · 1 bedroom · 2 beds · 1 private bath,,,,https://www.airbnb.com/users/show/448516426,Response rate: 40%,This stylish place is close to must-see destinations in Rajshahi city. Rajshahi is a divisonal head quarter & it is located in the centre point of the city. You'll enjoy your time at this cheerful getaway.You'll enjoy your time at this cheerful getaway.,,,,,,,"https://maps.google.com/maps?ll=24.36636,88.59983&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'BBQ grill', 'Paid parking on premises', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/605594658854597905?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P398UZNctazYK4tz&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,Rajshahi,Hotel in Rajshahi · 1 bedroom · 1 bed · 1 private bath,,,,https://www.airbnb.com/users/show/448516426,Response rate: 40%,Stay in the center of the action in this one-of-a-kind place in Rajshahi. Rajshahi is a divisonal head quarter & it is located in the centre point of the city. You'll enjoy your time at this cheerful getaway.,,,,,,,"https://maps.google.com/maps?ll=24.36509,88.60102&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'BBQ grill', 'Paid parking on premises', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/603230481782533351?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P3RCzaM3Ney_JYfg&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,Rajshahi,Hotel in Rajshahi · 1 bedroom · 2 beds · 1 private bath,,,,https://www.airbnb.com/users/show/448516426,Response rate: 40%,"Easily access local hot spots from this hip place in Rajshahi city, the divisional head quarter of Bangladesh. Rajshahi is the cleanest & beautiful city of Bangladesh. You can roam around the tourist attractions from our place easily. Rajshahi is famous for its mouth watering mango and Litchy. You can roam around the orchards near by our hotel and collect fresh fruits directly from the nearby orchards.",,,,,,,"https://maps.google.com/maps?ll=24.37308,88.60784&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['TV', 'Exercise equipment', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'BBQ grill', 'Free parking on premises', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/603197064875875731?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221313_P31nzmK_lUaADLdO&previous_page_section_name=1000&federated_search_id=70578f31-0dc5-4a86-ae4e-a2bcb580667e,Rajshahi,Hotel in Rajshahi · 1 bedroom · 1 bed · 1 private bath,,,,https://www.airbnb.com/users/show/448516426,Response rate: 40%,"This stylish and unique place sets the stage for a memorable trip in Rajshahi, the divisional head quarter and the cleanest city of Bangladesh. Rajshahi is famous for its mouth-watering mango and Litchy. You can roam around the orchards near by 
our hotel and collect fresh fruits directly from the orchards.This stylish place is close to must-see destinations.",,,,,,,"https://maps.google.com/maps?ll=24.37528,88.60789&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['TV', 'Exercise equipment', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'BBQ grill', 'Free parking on premises', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
