listing_link,latitude,longitude
https://www.airbnb.com/rooms/1157749718516606648?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3aNMcAtXohchrPP&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.363739,88.602796
https://www.airbnb.com/rooms/40007377?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1457509042&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3e7QNemP5eJWfyD&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.3664,88.6672
https://www.airbnb.com/rooms/1100401086256230631?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3paKKaZrvAfDCye&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.362454,88.631671
https://www.airbnb.com/rooms/957954994712679007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3md_yhY2YmuB1b_&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.370332,88.606942
https://www.airbnb.com/rooms/765564292644080411?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1532014595&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221309_P3DStF-qCvV4VcKQ&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.18128,88.28617
https://www.airbnb.com/rooms/1168644966911929845?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718221309_P3lBh0QszroHWa7U&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.3627,88.6023
https://www.airbnb.com/rooms/1114060751076156762?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P35L80VK9EPK8uMv&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.3679,88.5893
https://www.airbnb.com/rooms/27913616?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718221309_P3OFtjlMlmmfS90R&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.39167,88.53162
https://www.airbnb.com/rooms/597746598564798759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3rDKhWBs4fn8C0B&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.36723,88.60004
https://www.airbnb.com/rooms/31702081?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718221309_P3mon_QfHKb8eEST&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.374128,88.851247
https://www.airbnb.com/rooms/595926470263720037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3U9xqw8O0IFK2PC&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.37035,88.59038
https://www.airbnb.com/rooms/603232669564996347?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3J2_xI8NhhkctKY&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.37512,88.60713
https://www.airbnb.com/rooms/597762777056731600?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3uU7Y_StuWQ7kFk&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.36666,88.6006
https://www.airbnb.com/rooms/605552486460871178?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P34c1RKV5IOrwrHv&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.36498,88.59942
https://www.airbnb.com/rooms/603205036907186867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221309_P3JH1vsTZai02RwC&previous_page_section_name=1000&federated_search_id=42348049-41cd-41e5-b7cc-bce4356dbb65,24.37507,88.60862
https://www.airbnb.com/rooms/605588889900317892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P372DQC-YMRnSxXV&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36495,88.59965
https://www.airbnb.com/rooms/1114431763173332319?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718221310_P3sImalgD6gQmhYy&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.3762,88.6434
https://www.airbnb.com/rooms/601246955873586080?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3IOO0dm-V92WO8c&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.40784,88.61257
https://www.airbnb.com/rooms/681885347763181266?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1459080948&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3wyuB1wUrdXlyaF&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.3657,88.6673
https://www.airbnb.com/rooms/597758445842398043?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3OT-Wn82j4QcX7W&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.36609,88.59946
https://www.airbnb.com/rooms/603211977072019415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3RdIYzEKBwhRIaR&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.3739,88.60872
https://www.airbnb.com/rooms/603239014086896778?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P33HASZkHNAFmWdJ&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.37304,88.60638
https://www.airbnb.com/rooms/603225093780337042?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221310_P3wNYR9GqHdICTaP&previous_page_section_name=1000&federated_search_id=12d9ba04-8611-4752-8921-99e025dcea4b,24.37404,88.6085
