listing_link,latitude,longitude,continent,continentCode,principalSubdivision,city,localityName,postcode,fips,country_name,country_isoAlpha2,country_isoAlpha3
https://www.airbnb.com/rooms/956303219684413120?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3vM1Xlw8R7Lpm6b&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,24.758016,90.393486,Asia,AS,Mymensingh Division,Mymensingh,Mymensingh,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/956527927903404195?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3Y7U29QJdn6_lPz&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,24.757694,90.39289,Asia,AS,Mymensingh Division,Mymensingh,Mymensingh,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/1140986695871459144?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486026_P3lkBNUzUtrLMbR3&previous_page_section_name=1000&federated_search_id=cfeb1c1b-92a1-44a9-a5bb-947256db21e1,24.8885,90.7156,Asia,AS,Mymensingh Division,Netrakona,Netrakona,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/725826115252308348?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1499252111&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486027_P3nzt3NXGNlO0_0T&previous_page_section_name=1000&federated_search_id=cfeb1c1b-92a1-44a9-a5bb-947256db21e1,24.87191,90.72755,Asia,AS,Mymensingh Division,Netrakona,Netrakona,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/654626035121764171?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1428960591&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486027_P3LMtL2OKDIIpd15&previous_page_section_name=1000&federated_search_id=cfeb1c1b-92a1-44a9-a5bb-947256db21e1,24.8451,90.7311,Asia,AS,Mymensingh Division,Netrakona,Netrakona,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/723772257480022602?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1497335159&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486027_P3tyjFwa73gutzCj&previous_page_section_name=1000&federated_search_id=cfeb1c1b-92a1-44a9-a5bb-947256db21e1,24.87272,90.71964,Asia,AS,Mymensingh Division,Netrakona,Netrakona,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/49623463?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486027_P3SzcEpy7dlqviUw&previous_page_section_name=1000&federated_search_id=cfeb1c1b-92a1-44a9-a5bb-947256db21e1,24.86086,90.73154,Asia,AS,Mymensingh Division,Netrakona,Netrakona,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/836587062747611135?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486034_P3sh54Rp_hFaQ3vi&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.329,89.5415,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638716624731813872?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P32bNqs0WGb9SzUa&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.3092,89.5427,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
https://www.airbnb.com/rooms/638718552623369414?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486035_P3-ol6zyXCqRVaTh&previous_page_section_name=1000&federated_search_id=34618739-5f2a-448b-8901-723da944967c,25.309,89.5427,Asia,AS,Rangpur Division,Gaibandha,Gaibandha,,,Bangladesh,BD,BGD
