listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/40499174?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486058_P3vEx1P67gvHTBE8&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,Sylhet,Rental unit in Sylhet · 2 bedrooms · 3 beds · 1 bath,,1 review,https://www.airbnb.com/rooms/40499174/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486058_P3vEx1P67gvHTBE8&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,https://www.airbnb.com/users/show/233154787,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.95306,91.8635&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Shampoo', 'Essentials', 'Hangers', 'TV', 'Air conditioning', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Private entrance', 'Free parking on premises', 'Free street parking', 'Pool', 'Elevator', 'Breakfast', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1155876387919176161?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-11&check_out=2024-07-16&source_impression_id=p3_1718486058_P3G1kwvN12RKZ8-8&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,Sylhet,Condo in Sylhet · ★New · 3 bedrooms · 2 baths,,,,https://www.airbnb.com/users/show/511891430,Response rate: 100%,The space,,,,,,,"https://maps.google.com/maps?ll=24.875103,91.859072&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Air conditioning', 'Kitchen', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/618368580136590834?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486058_P3uk44q-QqaWhWaj&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,Sylhet,Bungalow in Golapganj · 4 bedrooms · 4.5 baths,,,,https://www.airbnb.com/users/show/457205948,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.85842,92.01461&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Clothing storage: closet', 'AC - split type ductless system', 'Ceiling fan', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Gas stove', 'Shared patio or balcony', 'Backyard - Fully fenced', 'Free driveway parking on premises – 5 spaces', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/1155122598560051514?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486058_P3c5P5FTDBh3FLQO&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,Sylhet,Rental unit in Sylhet · ★New · 3 bedrooms · 3 beds · 2 baths,,,,https://www.airbnb.com/users/show/576626537,,Relax with the whole family at this peaceful place to stay here. you feel like home away from home.,,,,,,,"https://maps.google.com/maps?ll=24.8863,91.8846&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Paid parking on premises', 'Self check-in', 'Building staff', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1064645123030426587?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486058_P35b842bMLn15NQV&previous_page_section_name=1000&federated_search_id=e15639e4-d2c5-4b22-8636-d2d986e0d3fd,Sylhet,Rental unit in Sylhet · 3 bedrooms · 3 beds · 2 baths,,,,https://www.airbnb.com/users/show/552372871,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.9022,91.8877&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Garden view', 'Bay view', 'Mountain view', 'Hot water', 'Essentials', 'Bed linens', 'TV', 'Central air conditioning', 'Central heating', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Private backyard – Fully fenced', 'Free parking on premises', 'Pets allowed', 'Smoking allowed', 'Host greets you', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
