listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/28313011?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1396061397&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486067_P3A2DJCA7RNg0fWo&previous_page_section_name=1000&federated_search_id=96cbb945-0822-4fe5-88b7-a9f4fa6cbe96,Sylhet,Condo in Sylhet · 1 bedroom · 4 beds · 4 baths,,,,https://www.airbnb.com/users/show/213801755,Responds within a few days or more,,,,,,,,"https://maps.google.com/maps?ll=24.89946,91.84693&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Shampoo', 'Washer', 'Essentials', 'Hangers', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Lock on bedroom door', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Private patio or balcony', 'Paid parking on premises', 'Breakfast', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1000810432549433849?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1758627605&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486067_P3MkRRE0S4yg6nzw&previous_page_section_name=1000&federated_search_id=96cbb945-0822-4fe5-88b7-a9f4fa6cbe96,Sylhet,Rental unit in Sylhet · 2 bedrooms · 2 beds · 2 baths,,,,https://www.airbnb.com/users/show/250209907,Responds within a few days or more,Your family will be close to everything when you stay at this centrally-located place.,,,,,,,"https://maps.google.com/maps?ll=24.9111,91.8322&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Lock on bedroom door', 'Kitchen', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1074041814930841947?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486070_P3BXpbNAMCHIV2Ts&previous_page_section_name=1000&federated_search_id=e63206b9-0b4a-4931-9e42-214e97c18417,Sylhet,Hotel in Sylhet · 1 bedroom · 1 bed,,,,https://www.airbnb.com/users/show/557846535,,"Soaring high above downtown Sylhet, Hotel Noorjahan Grand is an iconic landmark that offers the ultimate luxury in accommodation. Within 5mins walking distance to the top attraction of the city-Hazrat Shahjalal Mazar, tge hotel is the perfect place to call home while discovering the very best this city has to offer.",,,,,,,"https://maps.google.com/maps?ll=24.901606,91.870592&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Outdoor shower', 'Washer', 'Piano', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Outdoor dining area', 'Free parking on premises', 'Pool', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/21077550?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=381658793&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486070_P3V5eoEVPhkGY0Pb&previous_page_section_name=1000&federated_search_id=e63206b9-0b4a-4931-9e42-214e97c18417,Sylhet,Home in Sylhet · 1 bedroom · 1 bed · 2 baths,,,,https://www.airbnb.com/users/show/138679742,Responds within a few days or more,,,,,,,,"https://maps.google.com/maps?ll=24.89942,91.86681&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Shampoo', 'Dryer', 'Essentials', 'Hangers', 'Iron', 'TV with standard cable', 'Lock on bedroom door', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Private entrance', 'Free parking on premises', 'Private living room', 'Breakfast', 'Smoking allowed', 'Unavailable: Washer\nWasher', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/40354914?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486070_P360AEbU8WBM5LOH&previous_page_section_name=1000&federated_search_id=e63206b9-0b4a-4931-9e42-214e97c18417,Sylhet,Hostel in Sylhet · 4 bedrooms · 4 beds · 1 private bath,,,,https://www.airbnb.com/users/show/311922003,Responds within a few days or more,,,,,,,,"https://maps.google.com/maps?ll=24.90104,91.86786&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Shampoo', 'Hot water', 'Essentials', 'TV', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Private entrance', 'Free parking on premises', 'Elevator', 'Private living room', 'Breakfast', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer']"
